momentum_ratio_threshold,pullback_depth_min,pullback_depth_max,upper_wick_ratio_max,lower_wick_ratio_max,breakout_confirmation_required,total_candidates,after_momentum_filter,after_pullback_filter,after_wick_filter,after_breakout_filter,final_trades
0.95,-1.0,,,0.6,True,633,36,32,20,20,20
0.95,-1.0,,,0.7,False,633,36,32,32,32,32
0.95,-1.0,,,0.7,True,633,36,32,20,20,20
0.95,-1.0,,0.2,,False,633,36,32,32,32,32
0.95,-1.0,,0.2,,True,633,36,32,20,20,20
0.95,-1.0,,0.2,0.5,False,633,36,32,32,32,32
0.95,-1.0,,0.2,0.5,True,633,36,32,20,20,20
0.95,-1.0,,0.2,0.6,False,633,36,32,32,32,32
0.95,-1.0,,0.2,0.6,True,633,36,32,20,20,20
0.95,-1.0,,0.2,0.7,False,633,36,32,32,32,32
0.95,-1.0,,0.2,0.7,True,633,36,32,20,20,20
0.95,-1.0,,0.3,,False,633,36,32,32,32,32
0.95,-1.0,,0.3,,True,633,36,32,20,20,20
0.95,-1.0,,0.3,0.5,False,633,36,32,32,32,32
0.95,-1.0,,0.3,0.5,True,633,36,32,20,20,20
0.95,-1.0,,0.3,0.6,False,633,36,32,32,32,32
0.95,-1.0,,0.3,0.6,True,633,36,32,20,20,20
0.95,-1.0,,0.3,0.7,False,633,36,32,32,32,32
0.95,-1.0,,0.3,0.7,True,633,36,32,20,20,20
0.95,-1.0,,0.4,,False,633,36,32,32,32,32
0.95,-1.0,,0.4,,True,633,36,32,20,20,20
0.95,-1.0,,0.4,0.5,False,633,36,32,32,32,32
0.95,-1.0,,0.4,0.5,True,633,36,32,20,20,20
0.95,-1.0,,0.4,0.6,False,633,36,32,32,32,32
0.95,-1.0,,0.4,0.6,True,633,36,32,20,20,20
0.95,-1.0,,0.4,0.7,False,633,36,32,32,32,32
0.95,-1.0,,0.4,0.7,True,633,36,32,20,20,20
1.0,,,,,False,633,11,11,11,11,11
1.0,,,,,True,633,11,11,5,5,5
1.0,,,,0.5,False,633,11,11,11,11,11
1.0,,,,0.5,True,633,11,11,5,5,5
1.0,,,,0.6,False,633,11,11,11,11,11
1.0,,,,0.6,True,633,11,11,5,5,5
1.0,,,,0.7,False,633,11,11,11,11,11
1.0,,,,0.7,True,633,11,11,5,5,5
1.0,,,0.2,,False,633,11,11,11,11,11
1.0,,,0.2,,True,633,11,11,5,5,5
1.0,,,0.2,0.5,False,633,11,11,11,11,11
1.0,,,0.2,0.5,True,633,11,11,5,5,5
1.0,,,0.2,0.6,False,633,11,11,11,11,11
1.0,,,0.2,0.6,True,633,11,11,5,5,5
1.0,,,0.2,0.7,False,633,11,11,11,11,11
1.0,,,0.2,0.7,True,633,11,11,5,5,5
1.0,,,0.3,,False,633,11,11,11,11,11
1.0,,,0.3,,True,633,11,11,5,5,5
1.0,,,0.3,0.5,False,633,11,11,11,11,11
1.0,,,0.3,0.5,True,633,11,11,5,5,5
1.0,,,0.3,0.6,False,633,11,11,11,11,11
1.0,,,0.3,0.6,True,633,11,11,5,5,5
1.0,,,0.3,0.7,False,633,11,11,11,11,11
1.0,,,0.3,0.7,True,633,11,11,5,5,5
1.0,,,0.4,,False,633,11,11,11,11,11
1.0,,,0.4,,True,633,11,11,5,5,5
1.0,,,0.4,0.5,False,633,11,11,11,11,11
1.0,,,0.4,0.5,True,633,11,11,5,5,5
1.0,,,0.4,0.6,False,633,11,11,11,11,11
1.0,,,0.4,0.6,True,633,11,11,5,5,5
1.0,,,0.4,0.7,False,633,11,11,11,11,11
1.0,,,0.4,0.7,True,633,11,11,5,5,5
1.0,-3.0,,,,False,633,11,10,10,10,10
1.0,-3.0,,,,True,633,11,10,4,4,4
1.0,-3.0,,,0.5,False,633,11,10,10,10,10
1.0,-3.0,,,0.5,True,633,11,10,4,4,4
1.0,-3.0,,,0.6,False,633,11,10,10,10,10
1.0,-3.0,,,0.6,True,633,11,10,4,4,4
1.0,-3.0,,,0.7,False,633,11,10,10,10,10
1.0,-3.0,,,0.7,True,633,11,10,4,4,4
1.0,-3.0,,0.2,,False,633,11,10,10,10,10
1.0,-3.0,,0.2,,True,633,11,10,4,4,4
1.0,-3.0,,0.2,0.5,False,633,11,10,10,10,10
1.0,-3.0,,0.2,0.5,True,633,11,10,4,4,4
1.0,-3.0,,0.2,0.6,False,633,11,10,10,10,10
1.0,-3.0,,0.2,0.6,True,633,11,10,4,4,4
1.0,-3.0,,0.2,0.7,False,633,11,10,10,10,10
1.0,-3.0,,0.2,0.7,True,633,11,10,4,4,4
1.0,-3.0,,0.3,,False,633,11,10,10,10,10
1.0,-3.0,,0.3,,True,633,11,10,4,4,4
1.0,-3.0,,0.3,0.5,False,633,11,10,10,10,10
1.0,-3.0,,0.3,0.5,True,633,11,10,4,4,4
1.0,-3.0,,0.3,0.6,False,633,11,10,10,10,10
1.0,-3.0,,0.3,0.6,True,633,11,10,4,4,4
1.0,-3.0,,0.3,0.7,False,633,11,10,10,10,10
1.0,-3.0,,0.3,0.7,True,633,11,10,4,4,4
1.0,-3.0,,0.4,,False,633,11,10,10,10,10
1.0,-3.0,,0.4,,True,633,11,10,4,4,4
1.0,-3.0,,0.4,0.5,False,633,11,10,10,10,10
1.0,-3.0,,0.4,0.5,True,633,11,10,4,4,4
1.0,-3.0,,0.4,0.6,False,633,11,10,10,10,10
1.0,-3.0,,0.4,0.6,True,633,11,10,4,4,4
1.0,-3.0,,0.4,0.7,False,633,11,10,10,10,10
1.0,-3.0,,0.4,0.7,True,633,11,10,4,4,4
1.0,-2.5,,,,False,633,11,10,10,10,10
1.0,-2.5,,,,True,633,11,10,4,4,4
1.0,-2.5,,,0.5,False,633,11,10,10,10,10
1.0,-2.5,,,0.5,True,633,11,10,4,4,4
1.0,-2.5,,,0.6,False,633,11,10,10,10,10
1.0,-2.5,,,0.6,True,633,11,10,4,4,4
1.0,-2.5,,,0.7,False,633,11,10,10,10,10
1.0,-2.5,,,0.7,True,633,11,10,4,4,4
1.0,-2.5,,0.2,,False,633,11,10,10,10,10
