momentum_ratio_threshold,pullback_depth_min,pullback_depth_max,upper_wick_ratio_max,lower_wick_ratio_max,breakout_confirmation_required,trades,winrate,avg_R,profit_factor,max_drawdown
0.9,,,0.4,0.6,True,12,50.0,1.3776895090993102,2.077205684033844,9.840967612434875
0.9,,,0.4,0.7,False,18,50.0,0.8731576699681862,1.8443724238742363,9.840967612434875
0.9,,,0.4,0.7,True,12,50.0,1.3776895090993102,2.077205684033844,9.840967612434875
0.9,-3.0,,,,False,17,47.05882352941176,0.26402519281086917,1.2411366109371798,9.840967612434875
0.9,-3.0,,,,True,11,45.45454545454545,0.48216948432264944,1.3455878340296652,9.840967612434875
0.9,-3.0,,,0.5,False,17,47.05882352941176,0.26402519281086917,1.2411366109371798,9.840967612434875
0.9,-3.0,,,0.5,True,11,45.45454545454545,0.48216948432264944,1.3455878340296652,9.840967612434875
0.9,-3.0,,,0.6,False,17,47.05882352941176,0.26402519281086917,1.2411366109371798,9.840967612434875
0.9,-3.0,,,0.6,True,11,45.45454545454545,0.48216948432264944,1.3455878340296652,9.840967612434875
0.9,-3.0,,,0.7,False,17,47.05882352941176,0.26402519281086917,1.2411366109371798,9.840967612434875
0.9,-3.0,,,0.7,True,11,45.45454545454545,0.48216948432264944,1.3455878340296652,9.840967612434875
0.9,-3.0,,0.2,,False,17,47.05882352941176,0.26402519281086917,1.2411366109371798,9.840967612434875
0.9,-3.0,,0.2,,True,11,45.45454545454545,0.48216948432264944,1.3455878340296652,9.840967612434875
0.9,-3.0,,0.2,0.5,False,17,47.05882352941176,0.26402519281086917,1.2411366109371798,9.840967612434875
0.9,-3.0,,0.2,0.5,True,11,45.45454545454545,0.48216948432264944,1.3455878340296652,9.840967612434875
0.9,-3.0,,0.2,0.6,False,17,47.05882352941176,0.26402519281086917,1.2411366109371798,9.840967612434875
0.9,-3.0,,0.2,0.6,True,11,45.45454545454545,0.48216948432264944,1.3455878340296652,9.840967612434875
0.9,-3.0,,0.2,0.7,False,17,47.05882352941176,0.26402519281086917,1.2411366109371798,9.840967612434875
0.9,-3.0,,0.2,0.7,True,11,45.45454545454545,0.48216948432264944,1.3455878340296652,9.840967612434875
0.9,-3.0,,0.3,,False,17,47.05882352941176,0.26402519281086917,1.2411366109371798,9.840967612434875
0.9,-3.0,,0.3,,True,11,45.45454545454545,0.48216948432264944,1.3455878340296652,9.840967612434875
0.9,-3.0,,0.3,0.5,False,17,47.05882352941176,0.26402519281086917,1.2411366109371798,9.840967612434875
0.9,-3.0,,0.3,0.5,True,11,45.45454545454545,0.48216948432264944,1.3455878340296652,9.840967612434875
0.9,-3.0,,0.3,0.6,False,17,47.05882352941176,0.26402519281086917,1.2411366109371798,9.840967612434875
0.9,-3.0,,0.3,0.6,True,11,45.45454545454545,0.48216948432264944,1.3455878340296652,9.840967612434875
0.9,-3.0,,0.3,0.7,False,17,47.05882352941176,0.26402519281086917,1.2411366109371798,9.840967612434875
0.9,-3.0,,0.3,0.7,True,11,45.45454545454545,0.48216948432264944,1.3455878340296652,9.840967612434875
0.9,-3.0,,0.4,,False,17,47.05882352941176,0.26402519281086917,1.2411366109371798,9.840967612434875
0.9,-3.0,,0.4,,True,11,45.45454545454545,0.48216948432264944,1.3455878340296652,9.840967612434875
0.9,-3.0,,0.4,0.5,False,17,47.05882352941176,0.26402519281086917,1.2411366109371798,9.840967612434875
0.9,-3.0,,0.4,0.5,True,11,45.45454545454545,0.48216948432264944,1.3455878340296652,9.840967612434875
0.9,-3.0,,0.4,0.6,False,17,47.05882352941176,0.26402519281086917,1.2411366109371798,9.840967612434875
0.9,-3.0,,0.4,0.6,True,11,45.45454545454545,0.48216948432264944,1.3455878340296652,9.840967612434875
0.9,-3.0,,0.4,0.7,False,17,47.05882352941176,0.26402519281086917,1.2411366109371798,9.840967612434875
0.9,-3.0,,0.4,0.7,True,11,45.45454545454545,0.48216948432264944,1.3455878340296652,9.840967612434875
0.9,-2.5,,,,False,17,47.05882352941176,0.26402519281086917,1.2411366109371798,9.840967612434875
0.9,-2.5,,,,True,11,45.45454545454545,0.48216948432264944,1.3455878340296652,9.840967612434875
0.9,-2.5,,,0.5,False,17,47.05882352941176,0.26402519281086917,1.2411366109371798,9.840967612434875
0.9,-2.5,,,0.5,True,11,45.45454545454545,0.48216948432264944,1.3455878340296652,9.840967612434875
0.9,-2.5,,,0.6,False,17,47.05882352941176,0.26402519281086917,1.2411366109371798,9.840967612434875
0.9,-2.5,,,0.6,True,11,45.45454545454545,0.48216948432264944,1.3455878340296652,9.840967612434875
0.9,-2.5,,,0.7,False,17,47.05882352941176,0.26402519281086917,1.2411366109371798,9.840967612434875
0.9,-2.5,,,0.7,True,11,45.45454545454545,0.48216948432264944,1.3455878340296652,9.840967612434875
0.9,-2.5,,0.2,,False,17,47.05882352941176,0.26402519281086917,1.2411366109371798,9.840967612434875
0.9,-2.5,,0.2,,True,11,45.45454545454545,0.48216948432264944,1.3455878340296652,9.840967612434875
0.9,-2.5,,0.2,0.5,False,17,47.05882352941176,0.26402519281086917,1.2411366109371798,9.840967612434875
0.9,-2.5,,0.2,0.5,True,11,45.45454545454545,0.48216948432264944,1.3455878340296652,9.840967612434875
0.9,-2.5,,0.2,0.6,False,17,47.05882352941176,0.26402519281086917,1.2411366109371798,9.840967612434875
0.9,-2.5,,0.2,0.6,True,11,45.45454545454545,0.48216948432264944,1.3455878340296652,9.840967612434875
0.9,-2.5,,0.2,0.7,False,17,47.05882352941176,0.26402519281086917,1.2411366109371798,9.840967612434875
0.9,-2.5,,0.2,0.7,True,11,45.45454545454545,0.48216948432264944,1.3455878340296652,9.840967612434875
0.9,-2.5,,0.3,,False,17,47.05882352941176,0.26402519281086917,1.2411366109371798,9.840967612434875
