ema_distance_threshold,volume_ratio_threshold,rsi_threshold,trades,winrate,avg_R,profit_factor,max_drawdown,suspicious_abs_avg_r,suspicious_pf,suspicious_low_trades,valid,scan_id
0.0006,1.4,45,1,100.0,0.5,10.0,0.0,False,False,True,False,e8b6a397
0.0006,1.4,50,1,100.0,0.5,10.0,0.0,False,False,True,False,e8b6a397
0.0006,1.4,55,1,100.0,0.5,10.0,0.0,False,False,True,False,e8b6a397
0.0006,1.4,60,0,0.0,0.0,0.0,0.0,False,False,True,False,e8b6a397
0.0006,1.6,40,0,0.0,0.0,0.0,0.0,False,False,True,False,e8b6a397
0.0006,1.6,45,0,0.0,0.0,0.0,0.0,False,False,True,False,e8b6a397
0.0006,1.6,50,0,0.0,0.0,0.0,0.0,False,False,True,False,e8b6a397
0.0006,1.6,55,0,0.0,0.0,0.0,0.0,False,False,True,False,e8b6a397
0.0006,1.6,60,0,0.0,0.0,0.0,0.0,False,False,True,False,e8b6a397
0.0008,0.8,40,1,100.0,0.5,10.0,0.0,False,False,True,False,e8b6a397
0.0008,0.8,45,1,100.0,0.5,10.0,0.0,False,False,True,False,e8b6a397
0.0008,0.8,50,1,100.0,0.5,10.0,0.0,False,False,True,False,e8b6a397
0.0008,0.8,55,1,100.0,0.5,10.0,0.0,False,False,True,False,e8b6a397
0.0008,0.8,60,0,0.0,0.0,0.0,0.0,False,False,True,False,e8b6a397
0.0008,1.0,40,1,100.0,0.5,10.0,0.0,False,False,True,False,e8b6a397
0.0008,1.0,45,1,100.0,0.5,10.0,0.0,False,False,True,False,e8b6a397
0.0008,1.0,50,1,100.0,0.5,10.0,0.0,False,False,True,False,e8b6a397
0.0008,1.0,55,1,100.0,0.5,10.0,0.0,False,False,True,False,e8b6a397
0.0008,1.0,60,0,0.0,0.0,0.0,0.0,False,False,True,False,e8b6a397
0.0008,1.2,40,1,100.0,0.5,10.0,0.0,False,False,True,False,e8b6a397
0.0008,1.2,45,1,100.0,0.5,10.0,0.0,False,False,True,False,e8b6a397
0.0008,1.2,50,1,100.0,0.5,10.0,0.0,False,False,True,False,e8b6a397
0.0008,1.2,55,1,100.0,0.5,10.0,0.0,False,False,True,False,e8b6a397
0.0008,1.2,60,0,0.0,0.0,0.0,0.0,False,False,True,False,e8b6a397
0.0008,1.4,40,1,100.0,0.5,10.0,0.0,False,False,True,False,e8b6a397
0.0008,1.4,45,1,100.0,0.5,10.0,0.0,False,False,True,False,e8b6a397
0.0008,1.4,50,1,100.0,0.5,10.0,0.0,False,False,True,False,e8b6a397
0.0008,1.4,55,1,100.0,0.5,10.0,0.0,False,False,True,False,e8b6a397
0.0008,1.4,60,0,0.0,0.0,0.0,0.0,False,False,True,False,e8b6a397
0.0008,1.6,40,0,0.0,0.0,0.0,0.0,False,False,True,False,e8b6a397
0.0008,1.6,45,0,0.0,0.0,0.0,0.0,False,False,True,False,e8b6a397
0.0008,1.6,50,0,0.0,0.0,0.0,0.0,False,False,True,False,e8b6a397
0.0008,1.6,55,0,0.0,0.0,0.0,0.0,False,False,True,False,e8b6a397
0.0008,1.6,60,0,0.0,0.0,0.0,0.0,False,False,True,False,e8b6a397
0.001,0.8,40,1,100.0,0.5,10.0,0.0,False,False,True,False,e8b6a397
0.001,0.8,45,1,100.0,0.5,10.0,0.0,False,False,True,False,e8b6a397
0.001,0.8,50,1,100.0,0.5,10.0,0.0,False,False,True,False,e8b6a397
0.001,0.8,55,1,100.0,0.5,10.0,0.0,False,False,True,False,e8b6a397
0.001,0.8,60,0,0.0,0.0,0.0,0.0,False,False,True,False,e8b6a397
0.001,1.0,40,1,100.0,0.5,10.0,0.0,False,False,True,False,e8b6a397
0.001,1.0,45,1,100.0,0.5,10.0,0.0,False,False,True,False,e8b6a397
0.001,1.0,50,1,100.0,0.5,10.0,0.0,False,False,True,False,e8b6a397
0.001,1.0,55,1,100.0,0.5,10.0,0.0,False,False,True,False,e8b6a397
0.001,1.0,60,0,0.0,0.0,0.0,0.0,False,False,True,False,e8b6a397
0.001,1.2,40,1,100.0,0.5,10.0,0.0,False,False,True,False,e8b6a397
0.001,1.2,45,1,100.0,0.5,10.0,0.0,False,False,True,False,e8b6a397
0.001,1.2,50,1,100.0,0.5,10.0,0.0,False,False,True,False,e8b6a397
0.001,1.2,55,1,100.0,0.5,10.0,0.0,False,False,True,False,e8b6a397
0.001,1.2,60,0,0.0,0.0,0.0,0.0,False,False,True,False,e8b6a397
0.001,1.4,40,1,100.0,0.5,10.0,0.0,False,False,True,False,e8b6a397
0.001,1.4,45,1,100.0,0.5,10.0,0.0,False,False,True,False,e8b6a397
0.001,1.4,50,1,100.0,0.5,10.0,0.0,False,False,True,False,e8b6a397
0.001,1.4,55,1,100.0,0.5,10.0,0.0,False,False,True,False,e8b6a397
0.001,1.4,60,0,0.0,0.0,0.0,0.0,False,False,True,False,e8b6a397
0.001,1.6,40,0,0.0,0.0,0.0,0.0,False,False,True,False,e8b6a397
0.001,1.6,45,0,0.0,0.0,0.0,0.0,False,False,True,False,e8b6a397
0.001,1.6,50,0,0.0,0.0,0.0,0.0,False,False,True,False,e8b6a397
0.001,1.6,55,0,0.0,0.0,0.0,0.0,False,False,True,False,e8b6a397
0.001,1.6,60,0,0.0,0.0,0.0,0.0,False,False,True,False,e8b6a397
